gen alive: 4, params: danger divisor: 6.367535190353319, min opp score: 575.1430787922709, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 62837, score: 6
gen alive: 4, params: corner divisor: 1.4987651649139213, corner exponent: 1.8312733047166156, min opp score: 790.5328092390056, danger divisor: 5.664862248671922, id: 63077, score: 6
gen alive: 4, params: danger divisor: 19.723385682745253, corner divisor: 12.85686572826435, corner exponent: 1.890120623302458, min opp score: 371.0953513781621, id: 63122, score: 6
gen alive: 4, params: danger divisor: 14.527104119243862, min opp score: 724.9884522165046, corner divisor: 11.356559275407932, corner exponent: 2.9278687981684426, id: 63175, score: 6
gen alive: 4, params: danger divisor: 2.4538308498359713, min opp score: 271.1843448511837, corner divisor: 1.4250631408404224, corner exponent: 1.8923793178759525, id: 63397, score: 6
gen alive: 4, params: danger divisor: 4.832109641891755, corner divisor: 5.189210909060243, corner exponent: 1.6235227401608632, id: 63411, score: 6
gen alive: 4, params: danger divisor: 19.002604587945463, corner divisor: 5.189210909060243, corner exponent: 1.6235227401608632, id: 63507, score: 6
gen alive: 3, params: corner divisor: 5.195927270084228, corner exponent: 2.9278687981684426, danger divisor: 14.527104119243862, min opp score: 323.5573103970566, id: 62419, score: 6
gen alive: 3, params: danger divisor: 7.032489762637828, min opp score: 377.1766715833782, corner divisor: 3.0614430872986915, corner exponent: 1.9205796826066361, id: 62157, score: 6
gen alive: 3, params: danger divisor: 8.433843107514289, min opp score: 765.6615437714935, corner divisor: 1.2175167221378989, corner exponent: 1.0794863276104436, id: 62971, score: 6
gen alive: 3, params: danger divisor: 1.9783902222229983, min opp score: 185.62426893816234, corner divisor: 4.349089901837019, corner exponent: 2.107693585794485, id: 62997, score: 6
gen alive: 3, params: danger divisor: 17.8613728077366, min opp score: 200.9038166264831, corner divisor: 6.313487090742711, corner exponent: 1.4173844822793837, id: 63125, score: 6
gen alive: 3, params: danger divisor: 4.309464181463759, min opp score: 925.0723699939368, corner divisor: 16.95814117661923, corner exponent: 1.7854777789192906, id: 63331, score: 6
gen alive: 3, params: danger divisor: 6.367535190353319, min opp score: 128.98831810019226, corner divisor: 2.0971930306885422, corner exponent: 1.8022180011020041, id: 63357, score: 6
gen alive: 3, params: danger divisor: 1.0690929284507402, min opp score: 370.4182171884358, corner divisor: 18.89673030493571, corner exponent: 1.0170096470793049, id: 63375, score: 6
gen alive: 3, params: danger divisor: 15.452779292166033, min opp score: 428.43930646239744, corner divisor: 14.264588303799018, corner exponent: 2.1553933383227104, id: 63455, score: 6
gen alive: 3, params: min opp score: 866.3956054795385, danger divisor: 9.04108356409842, id: 63513, score: 6
gen alive: 3, params: danger divisor: 6.882923922383946, min opp score: 120.72158126605794, corner divisor: 3.6647034790096056, corner exponent: 1.704182203314888, id: 63523, score: 6
gen alive: 3, params: danger divisor: 6.398559119938601, min opp score: 326.9852294129869, corner divisor: 6.822186406432596, corner exponent: 2.453195136145755, id: 63545, score: 6
gen alive: 3, params: danger divisor: 4.987744396182736, min opp score: 394.5919117527251, corner divisor: 19.197517244294367, corner exponent: 1.8308907467277356, id: 63611, score: 6
gen alive: 3, params: corner divisor: 5.195927270084228, corner exponent: 2.9278687981684426, danger divisor: 17.8613728077366, min opp score: 323.5573103970566, id: 63693, score: 6
gen alive: 3, params: danger divisor: 11.897538357950964, min opp score: 222.11519718248908, corner divisor: 15.206529897031324, corner exponent: 2.883588699711776, id: 63736, score: 6
gen alive: 2, params: chip divisor: 17.10619817989899, min opp score: 183.43026209766117, danger divisor: 6.110221278576553, corner divisor: 5.539866154202049, corner exponent: 1.295719712258982, id: 63323, score: 6
gen alive: 2, params: chip divisor: 9.42068696957795, corner divisor: 10.704928297674124, corner exponent: 1.9663425693183807, min opp score: 260.21576187111594, id: 63327, score: 6
gen alive: 2, params: danger divisor: 4.86896435808997, min opp score: 223.97018029785517, corner divisor: 11.149115480241612, corner exponent: 1.0260679246222424, id: 63433, score: 6
gen alive: 2, params: danger divisor: 6.398559119938601, min opp score: 283.79892122839476, corner divisor: 8.566150898204345, corner exponent: 2.453195136145755, id: 63459, score: 6
gen alive: 2, params: danger divisor: 11.897538357950964, min opp score: 488.3452923583651, corner divisor: 15.206529897031324, corner exponent: 2.8632772617059343, id: 63463, score: 6
gen alive: 2, params: danger divisor: 18.529770400647596, min opp score: 724.9884522165046, corner divisor: 19.58208221134523, corner exponent: 1.7565855985441807, id: 63465, score: 6
gen alive: 2, params: danger divisor: 2.262716889872722, min opp score: 406.41856984443734, corner divisor: 2.4336365290585107, corner exponent: 2.931940679261547, id: 63491, score: 6
gen alive: 2, params: danger divisor: 13.2906186752591, min opp score: 223.97018029785517, corner divisor: 6.402195985710644, corner exponent: 1.7999660408649756, id: 63563, score: 6
gen alive: 2, params: danger divisor: 8.433843107514289, min opp score: 340.91012519557955, corner divisor: 1.2175167221378989, corner exponent: 1.0794863276104436, id: 63632, score: 6
gen alive: 1, params: danger divisor: 9.92112856065951, min opp score: 919.5581392817086, corner divisor: 10.154115614880933, corner exponent: 2.1310542913697383, id: 63417, score: 6
gen alive: 1, params: corner divisor: 4.7316922299757564, corner exponent: 2.7007309595382485, min opp score: 672.0198573767161, id: 63477, score: 6
gen alive: 1, params: corner divisor: 18.315665659299135, corner exponent: 1.433399319656077, min opp score: 857.4741662557853, danger divisor: 16.9421505753495, id: 63782, score: 6
gen alive: 1, params: danger divisor: 6.46297487788651, min opp score: 270.6325821783138, chip divisor: 8.930708078571804, id: 63267, score: 6
gen alive: 1, params: min opp score: 648.1609370993947, corner divisor: 8.386468072336033, corner exponent: 1.481723009726455, danger divisor: 11.47727396300673, chip divisor: 9.128196308060156, id: 63320, score: 6
gen alive: 1, params: danger divisor: 6.302799068845444, min opp score: 231.86894754764094, corner divisor: 2.515456577106278, corner exponent: 1.2302634429142136, id: 63158, score: 6
gen alive: 1, params: danger divisor: 1.5574406895406747, corner divisor: 5.544575321412827, corner exponent: 2.7326970432999738, chip divisor: 8.315071776993996, id: 62676, score: 6
gen alive: 1, params: corner divisor: 5.216440308665591, corner exponent: 2.924013349014659, min opp score: 595.7174699723821, chip divisor: 16.779728251019293, id: 63045, score: 6
gen alive: 1, params: danger divisor: 9.308698570269264, min opp score: 414.1975722395966, corner divisor: 5.16558171190019, corner exponent: 1.1004700859368381, chip divisor: 18.684478470773296, id: 63227, score: 6
gen alive: 1, params: danger divisor: 4.89429245358758, min opp score: 349.48145540452526, corner divisor: 6.402195985710644, corner exponent: 2.2958355909798605, id: 62891, score: 6
gen alive: 11, params: danger divisor: 1.077550911108299, min opp score: 897.1886869229368, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, id: 63672, score: 4
gen alive: 9, params: min opp score: 346.4126685008731, danger divisor: 5.184922336002935, corner divisor: 2.6286749640684217, corner exponent: 1.2302634429142136, id: 63773, score: 4
gen alive: 7, params: chip divisor: 17.841921301270304, corner divisor: 5.311353079304133, corner exponent: 2.883588699711776, danger divisor: 5.003197291081406, min opp score: 208.20795504282302, id: 63190, score: 4
gen alive: 7, params: danger divisor: 18.981004016094744, min opp score: 386.14985250021203, corner divisor: 3.1453760796352537, corner exponent: 2.7716609759360358, id: 63451, score: 4
gen alive: 4, params: danger divisor: 7.900779671738023, corner divisor: 10.462694477900659, corner exponent: 2.0662306930609873, id: 63365, score: 4
gen alive: 4, params: danger divisor: 9.92112856065951, min opp score: 468.38850026829994, corner divisor: 5.311353079304133, corner exponent: 2.498837934281374, id: 63667, score: 4
gen alive: 3, params: min opp score: 465.3811029008721, id: 62819, score: 4
gen alive: 2, params: min opp score: 425.679032717222, corner divisor: 5.84372865942026, corner exponent: 1.0980330157550489, danger divisor: 4.005771367150826, id: 62712, score: 4
gen alive: 2, params: danger divisor: 13.537956378390476, min opp score: 430.74219453760657, corner divisor: 7.316451054200672, corner exponent: 2.0977895008111416, id: 62363, score: 4
gen alive: 18, params: danger divisor: 5.099494234679468, min opp score: 120.72158126605794, corner divisor: 3.1453760796352537, corner exponent: 2.883588699711776, id: 59605, score: 3
gen alive: 17, params: danger divisor: 13.495547704828212, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 120.72158126605794, id: 61179, score: 3
gen alive: 16, params: danger divisor: 7.301117355670719, corner divisor: 1.9829048516469048, corner exponent: 2.3441594014389437, min opp score: 320.50684611354427, id: 62141, score: 3
gen alive: 16, params: danger divisor: 7.301117355670719, corner divisor: 5.311353079304133, corner exponent: 2.2226426209304995, min opp score: 508.98723899965347, id: 60642, score: 3
gen alive: 14, params: danger divisor: 5.422558978790651, min opp score: 314.41237109085296, corner divisor: 4.722521462317197, corner exponent: 1.383371765194052, id: 61606, score: 3
gen alive: 13, params: danger divisor: 5.1646769306050535, min opp score: 195.87045399220196, corner divisor: 5.338185567844635, corner exponent: 1.5667532729206057, id: 61085, score: 3
gen alive: 13, params: danger divisor: 5.624156148413094, min opp score: 386.14985250021203, corner divisor: 3.1453760796352537, corner exponent: 2.7716609759360358, id: 60035, score: 3
gen alive: 13, params: min opp score: 428.43930646239744, danger divisor: 5.184922336002935, corner divisor: 4.256293339554383, corner exponent: 2.032506636002845, id: 63764, score: 3
gen alive: 12, params: danger divisor: 7.900779671738023, corner divisor: 3.487430242958225, corner exponent: 2.2112793866290104, min opp score: 316.8554663165308, id: 62159, score: 3
gen alive: 12, params: danger divisor: 13.898573548339712, min opp score: 428.43930646239744, corner divisor: 2.638316470814125, corner exponent: 2.7983198296815703, id: 63771, score: 3
