gen alive: 7, params: danger divisor: 9.784321375664911, min opp score: 302.6723620518924, corner divisor: 1.4987651649139213, corner exponent: 1.8308907467277356, id: 66180, score: 6
gen alive: 7, params: danger divisor: 6.364780459932849, corner divisor: 2.19844102349584, corner exponent: 1.8923793178759525, chip divisor: 17.107873262271177, id: 66190, score: 6
gen alive: 7, params: danger divisor: 2.690371722650835, min opp score: 206.68646716513717, corner divisor: 2.2654087676256687, corner exponent: 2.8221839712707095, id: 66205, score: 6
gen alive: 7, params: danger divisor: 7.377146476844247, min opp score: 270.6325821783138, corner divisor: 2.566939015775496, corner exponent: 1.2302634429142136, id: 66220, score: 6
gen alive: 7, params: corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, min opp score: 207.14459078236402, danger divisor: 7.321336003046883, id: 66277, score: 6
gen alive: 7, params: danger divisor: 8.056989086513056, min opp score: 712.1139625785765, corner divisor: 6.402195985710644, corner exponent: 1.8308907467277356, id: 66321, score: 6
gen alive: 6, params: danger divisor: 1.9783902222229983, min opp score: 235.06166496326446, corner divisor: 4.349089901837019, corner exponent: 2.107693585794485, id: 64627, score: 6
gen alive: 6, params: corner divisor: 2.566939015775496, corner exponent: 2.689329259705896, min opp score: 120.21159925198126, danger divisor: 7.511973584332567, id: 65039, score: 6
gen alive: 6, params: danger divisor: 1.293345298284004, min opp score: 271.1843448511837, corner divisor: 1.4250631408404224, corner exponent: 2.8221839712707095, chip divisor: 16.50092482436416, id: 65525, score: 6
gen alive: 6, params: danger divisor: 7.260719655327495, min opp score: 875.121896536406, corner divisor: 1.058082726599984, corner exponent: 1.890120623302458, id: 65935, score: 6
gen alive: 6, params: danger divisor: 7.566716889160274, min opp score: 752.1380964308867, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 65947, score: 6
gen alive: 6, params: danger divisor: 5.184922336002935, min opp score: 286.4387380548368, corner divisor: 2.0971930306885422, corner exponent: 1.8308907467277356, id: 66047, score: 6
gen alive: 6, params: danger divisor: 1.7721408789033868, min opp score: 340.91012519557955, corner divisor: 14.782370343236646, corner exponent: 2.1167312513703376, id: 66063, score: 6
gen alive: 6, params: danger divisor: 7.301117355670719, min opp score: 875.121896536406, corner divisor: 2.4307579099567613, corner exponent: 1.890120623302458, chip divisor: 16.021533632343846, id: 66085, score: 6
gen alive: 6, params: corner divisor: 4.349089901837019, corner exponent: 2.689329259705896, min opp score: 408.6191519845239, danger divisor: 18.823590885543982, id: 66181, score: 6
gen alive: 6, params: danger divisor: 1.8535218465047614, min opp score: 314.0176289596843, corner divisor: 2.2654087676256687, corner exponent: 2.053428922810437, id: 66287, score: 6
gen alive: 6, params: danger divisor: 8.30087477268195, min opp score: 227.007288415132, corner divisor: 10.484423638321285, corner exponent: 1.2212457025245915, id: 66302, score: 6
gen alive: 5, params: danger divisor: 3.5173699470573427, min opp score: 430.74219453760657, corner divisor: 11.923774198784457, corner exponent: 2.0977895008111416, id: 64933, score: 6
gen alive: 5, params: danger divisor: 8.056989086513056, min opp score: 221.60034352256628, corner divisor: 6.402195985710644, corner exponent: 2.4401458802567406, id: 65391, score: 6
gen alive: 5, params: danger divisor: 9.865557078216025, min opp score: 206.68646716513717, corner divisor: 2.2111998301497744, corner exponent: 2.460252641775255, id: 65393, score: 6
gen alive: 5, params: danger divisor: 15.859092137046297, min opp score: 956.146740913068, corner divisor: 11.149115480241612, corner exponent: 1.0260679246222424, id: 65427, score: 6
gen alive: 5, params: danger divisor: 8.30087477268195, min opp score: 208.20795504282302, corner divisor: 10.484423638321285, corner exponent: 1.2212457025245915, id: 65445, score: 6
gen alive: 5, params: danger divisor: 7.377146476844247, min opp score: 270.6325821783138, corner divisor: 19.049174672798966, corner exponent: 1.2302634429142136, id: 65485, score: 6
gen alive: 5, params: danger divisor: 8.766157213912736, min opp score: 132.4591257823052, corner divisor: 9.122626948956025, corner exponent: 2.697476965192938, id: 65495, score: 6
gen alive: 5, params: danger divisor: 6.364780459932849, corner divisor: 1.187035561861252, corner exponent: 1.6006634642299626, min opp score: 120.72158126605794, id: 65503, score: 6
gen alive: 5, params: danger divisor: 2.4538308498359713, min opp score: 515.9764153459329, corner divisor: 10.465347979513899, corner exponent: 1.4924682659121717, id: 65517, score: 6
gen alive: 5, params: danger divisor: 11.625759205809242, min opp score: 128.98831810019226, corner divisor: 17.298688864297304, corner exponent: 2.9069076950388197, id: 65381, score: 6
gen alive: 5, params: danger divisor: 5.977997009247263, min opp score: 206.68646716513717, corner divisor: 2.2111998301497744, corner exponent: 2.460252641775255, id: 65479, score: 6
gen alive: 5, params: danger divisor: 1.7721408789033868, min opp score: 355.8794036969852, corner divisor: 7.316451054200672, corner exponent: 1.12902073209985, id: 65941, score: 6
