{'ppo_masked_385': ([1, 108], [2, 96]), 'ppo_masked_61': ([2, 89], [1, 96]), 'zeros': ([0, 3], [0, 8])}
{'ppo_masked_385': ([1, 96], [2, 90]), 'ppo_masked_62': ([2, 96], [1, 104]), 'zeros': ([0, 8], [0, 6])}
{'ppo_masked_385': ([1, 106], [2, 89]), 'ppo_masked_63': ([2, 91], [1, 104]), 'zeros': ([0, 3], [0, 7])}
{'ppo_masked_385': ([1, 97], [2, 77]), 'ppo_masked_64': ([2, 96], [1, 118]), 'zeros': ([0, 7], [0, 5])}
{'ppo_masked_385': ([1, 96], [2, 89]), 'ppo_masked_65': ([2, 102], [1, 104]), 'zeros': ([0, 2], [0, 7])}
{'ppo_masked_385': ([1, 115], [2, 91]), 'ppo_masked_66': ([2, 83], [1, 102]), 'zeros': ([0, 2], [0, 7])}
{'ppo_masked_385': ([1, 107], [2, 79]), 'ppo_masked_67': ([2, 90], [1, 112]), 'zeros': ([0, 3], [0, 9])}
{'ppo_masked_385': ([1, 104], [2, 94]), 'ppo_masked_68': ([2, 92], [1, 97]), 'zeros': ([0, 4], [0, 9])}
{'ppo_masked_385': ([1, 107], [2, 98]), 'ppo_masked_69': ([2, 83], [1, 95]), 'zeros': ([0, 10], [0, 7])}
{'ppo_masked_385': ([1, 119], [2, 99]), 'ppo_masked_70': ([2, 78], [1, 95]), 'zeros': ([0, 3], [0, 6])}
{'ppo_masked_385': ([1, 109], [2, 95]), 'ppo_masked_71': ([2, 89], [1, 99]), 'zeros': ([0, 2], [0, 6])}
{'ppo_masked_385': ([1, 100], [2, 94]), 'ppo_masked_72': ([2, 93], [1, 100]), 'zeros': ([0, 7], [0, 6])}
{'ppo_masked_385': ([1, 92], [2, 90]), 'ppo_masked_73': ([2, 98], [1, 105]), 'zeros': ([0, 10], [0, 5])}
{'ppo_masked_385': ([1, 94], [2, 95]), 'ppo_masked_74': ([2, 103], [1, 100]), 'zeros': ([0, 3], [0, 5])}
{'ppo_masked_385': ([1, 98], [2, 93]), 'ppo_masked_75': ([2, 99], [1, 106]), 'zeros': ([0, 3], [0, 1])}
{'ppo_masked_385': ([1, 80], [2, 100]), 'ppo_masked_76': ([2, 113], [1, 92]), 'zeros': ([0, 7], [0, 8])}
{'ppo_masked_385': ([1, 98], [2, 87]), 'ppo_masked_77': ([2, 99], [1, 105]), 'zeros': ([0, 3], [0, 8])}
{'ppo_masked_385': ([1, 89], [2, 84]), 'ppo_masked_78': ([2, 107], [1, 112]), 'zeros': ([0, 4], [0, 4])}
{'ppo_masked_385': ([1, 93], [2, 90]), 'ppo_masked_79': ([2, 105], [1, 103]), 'zeros': ([0, 2], [0, 7])}
{'ppo_masked_385': ([1, 88], [2, 92]), 'ppo_masked_80': ([2, 101], [1, 100]), 'zeros': ([0, 11], [0, 8])}
{'ppo_masked_385': ([1, 107], [2, 95]), 'ppo_masked_81': ([2, 87], [1, 98]), 'zeros': ([0, 6], [0, 7])}
{'ppo_masked_385': ([1, 101], [2, 102]), 'ppo_masked_82': ([2, 95], [1, 94]), 'zeros': ([0, 4], [0, 4])}
{'ppo_masked_385': ([1, 97], [2, 99]), 'ppo_masked_83': ([2, 101], [1, 95]), 'zeros': ([0, 2], [0, 6])}
{'ppo_masked_385': ([1, 101], [2, 100]), 'ppo_masked_84': ([2, 96], [1, 95]), 'zeros': ([0, 3], [0, 5])}
{'ppo_masked_385': ([1, 96], [2, 90]), 'ppo_masked_85': ([2, 101], [1, 105]), 'zeros': ([0, 3], [0, 5])}
{'ppo_masked_385': ([1, 123], [2, 99]), 'ppo_masked_86': ([2, 72], [1, 96]), 'zeros': ([0, 5], [0, 5])}
{'ppo_masked_385': ([1, 97], [2, 95]), 'ppo_masked_87': ([2, 96], [1, 103]), 'zeros': ([0, 7], [0, 2])}
{'ppo_masked_385': ([1, 103], [2, 95]), 'ppo_masked_88': ([2, 92], [1, 100]), 'zeros': ([0, 5], [0, 5])}
{'ppo_masked_385': ([1, 99], [2, 88]), 'ppo_masked_89': ([2, 96], [1, 107]), 'zeros': ([0, 5], [0, 5])}
{'ppo_masked_385': ([1, 121], [2, 91]), 'ppo_masked_90': ([2, 75], [1, 100]), 'zeros': ([0, 4], [0, 9])}
{'ppo_masked_385': ([1, 116], [2, 95]), 'ppo_masked_91': ([2, 79], [1, 102]), 'zeros': ([0, 5], [0, 3])}
{'ppo_masked_385': ([1, 97], [2, 81]), 'ppo_masked_92': ([2, 98], [1, 117]), 'zeros': ([0, 5], [0, 2])}
{'ppo_masked_385': ([1, 103], [2, 99]), 'ppo_masked_93': ([2, 92], [1, 97]), 'zeros': ([0, 5], [0, 4])}
{'ppo_masked_385': ([1, 96], [2, 100]), 'ppo_masked_94': ([2, 99], [1, 94]), 'zeros': ([0, 5], [0, 6])}
{'ppo_masked_385': ([1, 102], [2, 111]), 'ppo_masked_95': ([2, 95], [1, 87]), 'zeros': ([0, 3], [0, 2])}
{'ppo_masked_385': ([1, 106], [2, 90]), 'ppo_masked_96': ([2, 88], [1, 105]), 'zeros': ([0, 6], [0, 5])}
{'ppo_masked_385': ([1, 109], [2, 91]), 'ppo_masked_97': ([2, 89], [1, 104]), 'zeros': ([0, 2], [0, 5])}
{'ppo_masked_385': ([1, 108], [2, 89]), 'ppo_masked_98': ([2, 88], [1, 105]), 'zeros': ([0, 4], [0, 6])}
{'ppo_masked_385': ([1, 106], [2, 81]), 'ppo_masked_99': ([2, 90], [1, 114]), 'zeros': ([0, 4], [0, 5])}
{'ppo_masked_385': ([1, 95], [2, 92]), 'ppo_masked_100': ([2, 100], [1, 105]), 'zeros': ([0, 5], [0, 3])}
{'ppo_masked_385': ([1, 102], [2, 77]), 'ppo_masked_101': ([2, 93], [1, 121]), 'zeros': ([0, 5], [0, 2])}
{'ppo_masked_385': ([1, 111], [2, 90]), 'ppo_masked_102': ([2, 83], [1, 105]), 'zeros': ([0, 6], [0, 5])}
{'ppo_masked_385': ([1, 95], [2, 78]), 'ppo_masked_103': ([2, 102], [1, 118]), 'zeros': ([0, 3], [0, 4])}
{'ppo_masked_385': ([1, 74], [2, 86]), 'ppo_masked_104': ([2, 123], [1, 111]), 'zeros': ([0, 3], [0, 3])}
{'ppo_masked_385': ([1, 107], [2, 80]), 'ppo_masked_105': ([2, 88], [1, 112]), 'zeros': ([0, 5], [0, 8])}
{'ppo_masked_385': ([1, 94], [2, 91]), 'ppo_masked_106': ([2, 98], [1, 101]), 'zeros': ([0, 8], [0, 8])}
{'ppo_masked_385': ([1, 107], [2, 76]), 'ppo_masked_107': ([2, 86], [1, 119]), 'zeros': ([0, 7], [0, 5])}
{'ppo_masked_385': ([1, 92], [2, 79]), 'ppo_masked_108': ([2, 106], [1, 118]), 'zeros': ([0, 2], [0, 3])}
{'ppo_masked_385': ([1, 97], [2, 88]), 'ppo_masked_109': ([2, 99], [1, 105]), 'zeros': ([0, 4], [0, 7])}
{'ppo_masked_385': ([1, 78], [2, 77]), 'ppo_masked_110': ([2, 116], [1, 120]), 'zeros': ([0, 6], [0, 3])}
{'ppo_masked_385': ([1, 81], [2, 85]), 'ppo_masked_111': ([2, 115], [1, 111]), 'zeros': ([0, 4], [0, 4])}
{'ppo_masked_385': ([1, 97], [2, 93]), 'ppo_masked_112': ([2, 98], [1, 101]), 'zeros': ([0, 5], [0, 6])}
{'ppo_masked_385': ([1, 83], [2, 83]), 'ppo_masked_113': ([2, 113], [1, 109]), 'zeros': ([0, 4], [0, 8])}
{'ppo_masked_385': ([1, 75], [2, 97]), 'ppo_masked_114': ([2, 121], [1, 98]), 'zeros': ([0, 4], [0, 5])}
{'ppo_masked_385': ([1, 73], [2, 85]), 'ppo_masked_115': ([2, 121], [1, 110]), 'zeros': ([0, 6], [0, 5])}
{'ppo_masked_385': ([1, 78], [2, 82]), 'ppo_masked_116': ([2, 115], [1, 107]), 'zeros': ([0, 7], [0, 11])}
{'ppo_masked_385': ([1, 89], [2, 103]), 'ppo_masked_117': ([2, 106], [1, 89]), 'zeros': ([0, 5], [0, 8])}
