gen alive: 6, params: min opp score: 107.92417199617526, danger divisor: 1.5537486913611744, corner divisor: 2.929206847728001, corner exponent: 1.5917552234781398, id: 5273, score: 18
gen alive: 6, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 6.830361569984919, min opp score: 207.98604733108857, id: 5235, score: 18
gen alive: 6, params: min opp score: 298.34684655678325, corner divisor: 1.5310219545644048, corner exponent: 1.7458815348936094, danger divisor: 19.8185163449237, id: 5340, score: 18
gen alive: 5, params: min opp score: 183.50490828916523, danger divisor: 6.830361569984919, corner divisor: 12.304341116782474, corner exponent: 2.9343520898640585, id: 5225, score: 18
gen alive: 5, params: corner divisor: 4.013712208210055, corner exponent: 1.4603476302339398, danger divisor: 9.594020057734317, min opp score: 464.3169752362953, id: 5354, score: 18
gen alive: 3, params: corner divisor: 10.292450406351346, corner exponent: 2.4493769199023374, danger divisor: 5.780582598305925, min opp score: 579.5182957038164, id: 5316, score: 18
gen alive: 3, params: min opp score: 165.20364703909928, danger divisor: 5.1203181262998445, corner divisor: 2.01367601221817, corner exponent: 2.192998573419733, id: 5344, score: 18
gen alive: 1, params: min opp score: 939.602750025487, corner divisor: 14.35848776924766, corner exponent: 1.0373231506362548, danger divisor: 19.54734897557056, chip divisor: 13.159196977540091, id: 5392, score: 18
gen alive: 1, params: danger divisor: 11.398597955121097, min opp score: 995.7180863301511, corner divisor: 11.054280429450364, corner exponent: 2.646609616533965, chip divisor: 3.358157023780273, id: 5394, score: 18
gen alive: 1, params: min opp score: 123.63967001240582, danger divisor: 6.830361569984919, corner divisor: 1.1676389748210614, corner exponent: 2.1814574775291447, id: 5269, score: 18
gen alive: 1, params: corner divisor: 3.3834020316252547, corner exponent: 2.4930966208382412, danger divisor: 2.9714413981049477, min opp score: 308.21909297121204, id: 5058, score: 18
gen alive: 1, params: corner divisor: 7.896180577369112, corner exponent: 2.021997303047582, danger divisor: 14.491885306434419, min opp score: 397.59732982813426, id: 5211, score: 18
gen alive: 1, params: min opp score: 488.2998781469508, danger divisor: 3.931353426148482, corner divisor: 19.021977728879616, corner exponent: 2.7702890170228973, id: 4587, score: 18
