gen alive: 12, params: corner divisor: 1.1676389748210614, corner exponent: 1.6278222462949008, danger divisor: 6.273854324647272, min opp score: 212.96268688396356, id: 4506, score: 30
gen alive: 9, params: min opp score: 466.95872275068115, danger divisor: 2.624583429034368, corner divisor: 2.929206847728001, corner exponent: 2.9343520898640585, id: 4587, score: 30
gen alive: 9, params: min opp score: 158.0576242190403, danger divisor: 8.831327708991182, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 4680, score: 30
gen alive: 8, params: min opp score: 763.4199196996938, corner divisor: 1.3142491369445581, corner exponent: 2.021810565452122, danger divisor: 1.2373134973252098, id: 4066, score: 30
gen alive: 6, params: corner divisor: 1.1676389748210614, corner exponent: 2.975698261678251, danger divisor: 13.901175922884406, min opp score: 100.10656952341613, id: 4361, score: 30
gen alive: 6, params: corner divisor: 11.376499091966632, corner exponent: 2.3408568067973343, danger divisor: 3.796516732917544, min opp score: 158.0576242190403, id: 4672, score: 30
gen alive: 5, params: min opp score: 232.1450837831602, danger divisor: 3.796516732917544, corner divisor: 1.068310695988945, corner exponent: 2.37835809088062, id: 4597, score: 30
gen alive: 5, params: corner divisor: 1.1676389748210614, corner exponent: 2.256309240501805, danger divisor: 6.911933456274359, min opp score: 100.10656952341613, id: 4708, score: 30
gen alive: 4, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 6.830361569984919, min opp score: 308.21909297121204, id: 4732, score: 30
gen alive: 3, params: min opp score: 207.6461333823495, corner divisor: 1.3142491369445581, corner exponent: 2.213781722579559, danger divisor: 1.2373134973252098, id: 4397, score: 30
gen alive: 2, params: min opp score: 183.50490828916523, danger divisor: 6.830361569984919, corner divisor: 3.2068710167321988, corner exponent: 2.9343520898640585, id: 4427, score: 30
gen alive: 18, params: min opp score: 158.0576242190403, danger divisor: 4.939330265859747, corner divisor: 2.929206847728001, corner exponent: 1.4375481092223572, id: 4219, score: 28
gen alive: 10, params: min opp score: 101.9816520688636, corner divisor: 1.5310219545644048, corner exponent: 1.7458815348936094, danger divisor: 1.2373134973252098, id: 4752, score: 28
gen alive: 1, params: min opp score: 298.34684655678325, corner divisor: 1.5310219545644048, corner exponent: 2.1814574775291447, danger divisor: 3.796516732917544, id: 4579, score: 28
gen alive: 20, params: min opp score: 153.6749362246881, danger divisor: 2.222290724751528, corner divisor: 2.929206847728001, corner exponent: 2.9343520898640585, id: 4648, score: 27
gen alive: 18, params: min opp score: 158.0576242190403, danger divisor: 6.830361569984919, corner divisor: 4.00303783829891, corner exponent: 2.6739638587794916, id: 3319, score: 27
gen alive: 17, params: min opp score: 237.88584191535557, corner divisor: 1.068310695988945, corner exponent: 2.37835809088062, danger divisor: 6.273854324647272, id: 3586, score: 27
gen alive: 16, params: corner divisor: 7.089676533207096, corner exponent: 2.9343520898640585, danger divisor: 4.101554265298679, min opp score: 153.6749362246881, id: 4520, score: 27
gen alive: 15, params: min opp score: 153.6749362246881, danger divisor: 6.360703707163745, corner divisor: 7.089676533207096, corner exponent: 2.9343520898640585, id: 4531, score: 27
gen alive: 13, params: min opp score: 215.6534055459672, corner divisor: 1.5310219545644048, corner exponent: 1.7458815348936094, danger divisor: 1.2373134973252098, id: 3501, score: 27
gen alive: 12, params: corner divisor: 1.1676389748210614, corner exponent: 2.37835809088062, danger divisor: 9.349952734957684, min opp score: 212.96268688396356, id: 4478, score: 27
gen alive: 12, params: corner divisor: 2.3506686010898745, corner exponent: 2.3408568067973343, danger divisor: 3.796516732917544, min opp score: 158.0576242190403, id: 4538, score: 27
gen alive: 11, params: min opp score: 215.6534055459672, corner divisor: 1.5310219545644048, corner exponent: 1.727524045341805, danger divisor: 1.2373134973252098, id: 3860, score: 27
gen alive: 11, params: corner divisor: 2.3506686010898745, corner exponent: 2.2606340015475865, danger divisor: 3.796516732917544, min opp score: 261.63230708554204, id: 4731, score: 27
