gen alive: 14, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, min opp score: 131.46084577506105, danger divisor: 2.7610173220029974, id: 29979, score: 39
gen alive: 14, params: corner divisor: 1.38057181318413, corner exponent: 1.9505563790377844, min opp score: 139.1762947009676, danger divisor: 1.5621851627864198, id: 30542, score: 39
gen alive: 13, params: corner divisor: 1.5674031545418696, corner exponent: 1.1847776506888439, min opp score: 201.6735042815908, danger divisor: 5.370273296281382, id: 28201, score: 39
gen alive: 13, params: corner divisor: 1.5674031545418696, corner exponent: 2.6666326185896345, danger divisor: 16.852423046190097, min opp score: 634.8432540978475, id: 30413, score: 39
gen alive: 13, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, danger divisor: 2.305755204698305, min opp score: 181.24629162465823, id: 30511, score: 39
gen alive: 12, params: corner divisor: 1.4141726915481594, corner exponent: 2.440867028945015, min opp score: 462.49659878855954, danger divisor: 4.994619798075959, id: 28335, score: 39
gen alive: 12, params: corner divisor: 1.8908946854051345, corner exponent: 2.6666326185896345, danger divisor: 5.055701253778883, min opp score: 170.58405237342106, id: 28915, score: 39
gen alive: 12, params: corner divisor: 1.924872582001383, corner exponent: 2.65964097961648, min opp score: 210.97974675215204, danger divisor: 1.219823213563864, id: 30518, score: 39
gen alive: 12, params: corner divisor: 1.0290058383826213, corner exponent: 2.4888656492239223, min opp score: 210.97974675215204, danger divisor: 2.914264166191812, id: 30528, score: 39
gen alive: 12, params: min opp score: 189.06154507642202, corner divisor: 3.078182325896413, corner exponent: 2.8371899607449214, danger divisor: 3.8928310447221497, id: 30532, score: 39
gen alive: 11, params: min opp score: 164.37054741828962, danger divisor: 1.8741957435641958, corner divisor: 2.190810671313228, corner exponent: 2.4951963228436944, id: 28721, score: 39
gen alive: 10, params: corner divisor: 1.0290058383826213, corner exponent: 2.2736765941280996, min opp score: 776.8779197004917, danger divisor: 2.914264166191812, id: 29540, score: 39
gen alive: 9, params: corner divisor: 1.924872582001383, corner exponent: 2.538812764620567, min opp score: 615.6943960782069, danger divisor: 1.0824483397993152, id: 28227, score: 39
gen alive: 9, params: corner divisor: 1.4141726915481594, corner exponent: 2.3348231010915717, min opp score: 911.4800803397079, danger divisor: 2.305755204698305, id: 29671, score: 39
gen alive: 9, params: corner divisor: 1.4446526150119707, corner exponent: 1.4955933007394728, danger divisor: 1.219823213563864, min opp score: 324.55493802049455, id: 29909, score: 39
gen alive: 7, params: corner divisor: 1.4141726915481594, corner exponent: 2.2736765941280996, min opp score: 186.51853826082674, danger divisor: 9.333373057212256, id: 29865, score: 39
gen alive: 7, params: corner divisor: 1.8908946854051345, corner exponent: 2.259449548996067, min opp score: 664.6365392591271, danger divisor: 3.737938592002247, id: 30377, score: 39
