gen alive: 9, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, danger divisor: 1.6965623029397623, min opp score: 113.04675385150676, id: 38758, score: 45
gen alive: 8, params: corner divisor: 1.924872582001383, corner exponent: 1.66953037808612, danger divisor: 1.4941192249339745, min opp score: 372.38749032980184, id: 38059, score: 45
gen alive: 5, params: corner divisor: 2.6577319412927625, corner exponent: 2.7305056666446275, danger divisor: 13.387382020707285, min opp score: 113.04675385150676, id: 40469, score: 45
gen alive: 2, params: corner divisor: 2.255553742290213, corner exponent: 2.5699793027657303, danger divisor: 1.0824483397993152, min opp score: 144.36856232262755, id: 39725, score: 45
gen alive: 2, params: corner divisor: 3.0233095856734087, corner exponent: 2.8318409891791387, min opp score: 132.00895266401312, danger divisor: 16.744611645566685, id: 40659, score: 45
gen alive: 11, params: corner divisor: 1.9610570744336302, corner exponent: 1.3668302467169875, danger divisor: 7.159931147068272, min opp score: 272.0247272189096, id: 38111, score: 44
gen alive: 29, params: min opp score: 139.1762947009676, danger divisor: 2.550749837089523, corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, id: 39715, score: 43
gen alive: 24, params: corner divisor: 2.862241644415418, corner exponent: 2.65964097961648, min opp score: 122.4941592700856, danger divisor: 2.914264166191812, id: 35093, score: 43
gen alive: 14, params: corner divisor: 3.4377608581309627, corner exponent: 2.5870274954414665, danger divisor: 2.7610173220029974, min opp score: 668.9562821416699, id: 39160, score: 43
gen alive: 13, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.1363654620757626, min opp score: 212.75495741371265, id: 38115, score: 43
gen alive: 11, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, min opp score: 211.3603889919225, danger divisor: 11.908489076542697, id: 40671, score: 43
gen alive: 8, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 655.9652603309145, danger divisor: 1.7808221836541742, id: 40657, score: 43
gen alive: 4, params: corner divisor: 1.924872582001383, corner exponent: 1.66953037808612, danger divisor: 1.4941192249339745, min opp score: 633.8479812360556, id: 40437, score: 43
gen alive: 3, params: corner divisor: 3.0233095856734087, corner exponent: 2.8318409891791387, min opp score: 132.00895266401312, danger divisor: 6.754583568198033, id: 39150, score: 43
