gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 1.7273098896886179, min opp score: 159.49531753453243, danger divisor: 1.0824483397993152, id: 44791, score: 45
gen alive: 13, params: danger divisor: 9.299998166885015, min opp score: 210.97974675215204, corner divisor: 1.5867073576676085, corner exponent: 1.5061573541535527, id: 45247, score: 45
gen alive: 12, params: corner divisor: 2.862241644415418, corner exponent: 2.440867028945015, danger divisor: 1.0824483397993152, min opp score: 117.71785595641863, id: 44767, score: 45
gen alive: 12, params: corner divisor: 3.5259262538384015, corner exponent: 2.8630219748543557, danger divisor: 2.6769642435092322, min opp score: 346.01168664867816, id: 44352, score: 45
gen alive: 11, params: corner divisor: 4.570091971540577, corner exponent: 2.032930607312575, danger divisor: 3.8816318029626142, min opp score: 129.45426664334602, id: 45409, score: 45
gen alive: 10, params: min opp score: 195.01361189096625, danger divisor: 8.195219635497768, corner divisor: 1.5867073576676085, corner exponent: 2.2736765941280996, id: 44159, score: 45
gen alive: 10, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 422.62866005435524, id: 45403, score: 45
gen alive: 8, params: corner divisor: 1.8908946854051345, corner exponent: 2.592441284884862, danger divisor: 2.305755204698305, min opp score: 938.5241139651284, id: 45719, score: 45
gen alive: 8, params: danger divisor: 6.134030719625546, min opp score: 264.6591128011194, corner divisor: 1.8908946854051345, corner exponent: 2.7495541708750366, id: 45839, score: 45
gen alive: 7, params: min opp score: 553.019438897591, danger divisor: 1.3608522065063957, corner divisor: 2.862241644415418, corner exponent: 2.032930607312575, id: 44585, score: 45
gen alive: 7, params: corner divisor: 1.4141726915481594, corner exponent: 1.7273098896886179, min opp score: 415.99900945524564, danger divisor: 3.3600435261608697, id: 45169, score: 45
gen alive: 1, params: corner divisor: 2.5527523867858006, corner exponent: 2.1041131870046303, danger divisor: 3.055708336835951, min opp score: 223.047348343358, id: 45323, score: 45
gen alive: 13, params: corner divisor: 1.5867073576676085, corner exponent: 2.5870274954414665, danger divisor: 11.04438352537108, min opp score: 181.24629162465823, id: 45867, score: 44
gen alive: 8, params: corner divisor: 1.4141726915481594, corner exponent: 2.422847806418605, danger divisor: 1.3608522065063957, min opp score: 212.75495741371265, id: 43799, score: 44
gen alive: 21, params: corner divisor: 1.5674031545418696, corner exponent: 2.4558780495786436, danger divisor: 8.060712943973925, min opp score: 148.5830980749371, id: 42085, score: 43
gen alive: 20, params: min opp score: 270.2358105906869, danger divisor: 1.3608522065063957, corner divisor: 2.862241644415418, corner exponent: 2.2736765941280996, id: 45348, score: 43
gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 2.422847806418605, danger divisor: 2.305755204698305, min opp score: 212.75495741371265, id: 44795, score: 43
gen alive: 12, params: corner divisor: 1.4446526150119707, corner exponent: 1.9600207001808965, danger divisor: 2.1363654620757626, min opp score: 144.36856232262755, id: 45899, score: 43
gen alive: 11, params: corner divisor: 1.4141726915481594, corner exponent: 1.7273098896886179, danger divisor: 1.286596863030676, min opp score: 180.08846005231828, id: 45849, score: 43
gen alive: 10, params: min opp score: 195.01361189096625, danger divisor: 15.458182121161723, corner divisor: 4.679427674489678, corner exponent: 1.7694206416012621, id: 43959, score: 43
gen alive: 10, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 16.526781510628872, min opp score: 139.1762947009676, id: 45211, score: 43
gen alive: 38, params: corner divisor: 2.862241644415418, corner exponent: 2.8664371522540826, danger divisor: 1.286596863030676, min opp score: 195.01361189096625, id: 36164, score: 42
gen alive: 28, params: corner divisor: 1.0290058383826213, corner exponent: 1.7520585311117283, danger divisor: 2.272649183166843, min opp score: 144.36856232262755, id: 40697, score: 42
gen alive: 23, params: danger divisor: 3.113721459776067, min opp score: 144.36856232262755, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 44797, score: 42
gen alive: 22, params: corner divisor: 1.924872582001383, corner exponent: 2.998997981500411, min opp score: 139.1762947009676, danger divisor: 6.563309938317922, id: 42823, score: 42
gen alive: 22, params: corner divisor: 1.5674031545418696, corner exponent: 2.4558780495786436, danger divisor: 1.3608522065063957, min opp score: 148.5830980749371, id: 45925, score: 42
gen alive: 21, params: danger divisor: 7.29633975522297, min opp score: 202.5749573151316, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 41071, score: 42
gen alive: 20, params: min opp score: 316.239352851628, danger divisor: 1.3608522065063957, corner divisor: 4.570091971540577, corner exponent: 2.032930607312575, id: 45822, score: 42
gen alive: 20, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 7.597901098502863, min opp score: 129.45426664334602, id: 45876, score: 42
gen alive: 19, params: corner divisor: 1.5867073576676085, corner exponent: 2.8664371522540826, danger divisor: 1.867775139352426, min opp score: 232.46216463846196, id: 42337, score: 42
gen alive: 18, params: corner divisor: 1.8908946854051345, corner exponent: 2.8664371522540826, danger divisor: 1.7808221836541742, min opp score: 513.035326797828, id: 45315, score: 42
gen alive: 16, params: corner divisor: 3.281653711056847, corner exponent: 2.8518345300175136, danger divisor: 1.3608522065063957, min opp score: 181.24629162465823, id: 44868, score: 42
gen alive: 16, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 2.1363654620757626, min opp score: 707.5858144709551, id: 45342, score: 42
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 1.9600207001808965, danger divisor: 17.523178129272825, min opp score: 195.01361189096625, id: 45661, score: 42
gen alive: 15, params: corner divisor: 2.862241644415418, corner exponent: 2.2092253401801756, danger divisor: 18.585003318369587, min opp score: 139.1762947009676, id: 45181, score: 42
gen alive: 13, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, danger divisor: 1.6965623029397623, min opp score: 541.4799922171678, id: 43763, score: 42
gen alive: 13, params: corner divisor: 2.862241644415418, corner exponent: 2.440867028945015, min opp score: 112.88912744156491, danger divisor: 5.554470894412734, id: 45647, score: 42
gen alive: 11, params: corner divisor: 2.286479560309278, corner exponent: 2.8518345300175136, danger divisor: 2.305755204698305, min opp score: 307.3728795029093, id: 44577, score: 42
gen alive: 11, params: corner divisor: 1.8908946854051345, corner exponent: 2.3348231010915717, danger divisor: 1.907414930420253, min opp score: 147.71888365317977, id: 43517, score: 42
gen alive: 11, params: corner divisor: 1.4141726915481594, corner exponent: 2.797041700236501, danger divisor: 3.8816318029626142, min opp score: 269.1965187795908, id: 45872, score: 42
gen alive: 10, params: corner divisor: 2.862241644415418, corner exponent: 2.8518345300175136, min opp score: 223.01561968825047, danger divisor: 3.313405703362173, id: 45665, score: 42
gen alive: 9, params: corner divisor: 3.8388720256400437, corner exponent: 2.998997981500411, min opp score: 290.43359062424986, danger divisor: 1.3608522065063957, id: 43301, score: 42
gen alive: 8, params: corner divisor: 2.865263203361331, corner exponent: 1.2829600115786526, min opp score: 425.52750470415805, danger divisor: 3.7707631785755833, id: 43609, score: 42
gen alive: 8, params: corner divisor: 2.862241644415418, corner exponent: 1.7788001254977168, danger divisor: 8.917529797402459, min opp score: 168.08586908378783, id: 41842, score: 42
gen alive: 7, params: corner divisor: 3.0233095856734087, corner exponent: 2.6666326185896345, danger divisor: 2.0629526975579333, min opp score: 180.08846005231828, id: 45729, score: 42
gen alive: 6, params: corner divisor: 1.4141726915481594, corner exponent: 2.2087054125179852, min opp score: 141.34469833936106, danger divisor: 10.880348422753505, id: 45653, score: 42
gen alive: 5, params: corner divisor: 2.862241644415418, corner exponent: 2.440867028945015, min opp score: 129.95065397571554, danger divisor: 3.513213315377684, id: 45549, score: 42
gen alive: 1, params: corner divisor: 1.4246873977339116, corner exponent: 2.8518345300175136, danger divisor: 2.1841723128323247, min opp score: 200.9526985239109, id: 44769, score: 42
gen alive: 21, params: danger divisor: 2.305755204698305, min opp score: 836.3958578921992, corner divisor: 2.438497591931453, corner exponent: 2.8518345300175136, id: 44296, score: 40
gen alive: 19, params: danger divisor: 1.867775139352426, min opp score: 144.36856232262755, corner divisor: 1.5867073576676085, corner exponent: 2.5580553710702327, id: 45791, score: 40
gen alive: 19, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, min opp score: 140.64327332353807, danger divisor: 14.057498486340425, id: 45819, score: 40
gen alive: 17, params: corner divisor: 1.924872582001383, corner exponent: 2.8518345300175136, min opp score: 460.9356413375886, danger divisor: 3.313405703362173, id: 45787, score: 40
gen alive: 16, params: corner divisor: 1.0290058383826213, corner exponent: 1.9600207001808965, danger divisor: 3.2260691062100193, min opp score: 867.9820447953805, id: 43797, score: 40
gen alive: 16, params: corner divisor: 2.862241644415418, corner exponent: 1.9327693231377883, danger divisor: 2.914264166191812, min opp score: 195.01361189096625, id: 45603, score: 40
gen alive: 15, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 134.22744511295932, id: 45343, score: 40
gen alive: 12, params: corner divisor: 1.5867073576676085, corner exponent: 2.998997981500411, danger divisor: 1.867775139352426, min opp score: 218.14056054518664, id: 44481, score: 40
gen alive: 6, params: corner divisor: 1.4141726915481594, corner exponent: 2.592441284884862, min opp score: 141.34469833936106, danger divisor: 19.007554224507775, id: 45059, score: 40
gen alive: 6, params: corner divisor: 8.249924084960298, corner exponent: 1.1775019938978635, danger divisor: 15.918258949285969, min opp score: 129.45426664334602, id: 45593, score: 40
